EventNumber,mBB,dRBB,dPhiVBB,dPhiLBmin,Mtop,dYWH,pTV,pTB1,pTB2,mTW,MET
4965335,42.2610282898,0.565635323524,3.03868913651,2.87351036072,195944.34375,0.413075566292,158705.390625,98.8511581421,44.6083221436,14416.1240234,77.7015686035
350641,92.7774887085,1.44499897957,3.09588575363,1.94145905972,138185.453125,0.11029574275,172744.4375,165.234573364,21.9849262238,48529.125,43.1508789062
28330705,59.5622406006,0.649709641933,3.08280134201,2.08958339691,238192.625,0.737611293793,151640.921875,80.3621673584,67.1959533691,85030.03125,132.401779175
15285259,121.40801239,1.94322776794,3.07868909836,1.49081873894,135278.484375,0.297079890966,161409.640625,141.14012146,28.0240497589,17089.3808594,63.9531059265
1406990,105.341567993,1.38586330414,3.13192987442,1.73576462269,168633.71875,0.665169417858,169945.9375,159.580154419,30.2757301331,67076.171875,53.2171859741
5212860,107.878540039,0.939565241337,3.13375496864,2.80233240128,313780.59375,2.03762316704,239074.484375,183.378555298,56.6181907654,6427.59033203,186.053405762
9678103,139.282897949,1.60403561592,3.12125062943,2.3369705677,219511.5625,0.0318095982075,174904.078125,141.485458374,44.0344543457,66759.6015625,36.3393478394
239417,175.0,2.14488172531,3.09511327744,1.66485977173,246413.71875,0.0383100658655,163266.625,138.160308838,95.4643859863,44328.4257812,122.170440674
489628,123.321159363,1.04211699963,3.08818244934,2.24556112289,249312.484375,0.213436886668,240064.5625,211.502090454,50.2583618164,103595.617188,86.5578918457
2578015,175.0,1.90933084488,3.13875484467,1.68118202686,233324.484375,0.732790231705,282802.6875,266.594665527,64.7101669312,35983.9179688,136.009063721
954819,113.456550598,1.59606850147,3.11751270294,1.80171132088,164181.140625,2.4212744236,160631.890625,164.03616333,33.1843643188,1616.89855957,131.949752808
281112,97.1366348267,0.930917084217,3.12890505791,3.01943397522,282634.78125,0.603063285351,176530.765625,96.8620834351,92.6820297241,8666.72460938,134.719940186
365096,139.728240967,1.59187054634,3.12904286385,1.34733963013,224186.578125,1.3104724884,176976.25,167.069595337,49.6380462646,76148.6875,117.952209473
2006814,175.0,2.39863300323,3.11455798149,2.27537822723,474028.9375,0.505679965019,255219.234375,210.24798584,128.543762207,65923.8359375,9.16963386536
502470,175.0,2.04023265839,3.10089445114,1.86895012856,549437.1875,1.93248260021,216790.5625,214.545257568,180.0,111051.640625,52.0464744568
2352481,150.160247803,1.7973395586,3.13409733772,1.32157254219,164575.671875,0.165283709764,176825.96875,176.697982788,47.1798553467,37630.5039062,121.226348877
895493,175.0,2.55511617661,3.13347935677,1.38555216789,168877.921875,1.31888496876,153032.046875,175.300369263,67.3539352417,4587.09814453,38.9651222229
7670176,159.580612183,1.11892306805,3.1203558445,2.74464583397,543442.4375,1.62287676334,252129.65625,191.659072876,96.1443252563,82825.3203125,93.1477279663
780925,175.0,2.98871994019,2.94881129265,1.5324767828,107052.132812,0.727819561958,191755.640625,200.362258911,23.9663696289,99715.4453125,176.591934204
1693856,97.2802200317,1.53093075752,3.10753893852,1.63343536854,152824.71875,0.338535934687,162196.453125,150.950805664,22.4258861542,72827.296875,109.235992432
252914,140.22505188,1.6480692625,2.9780228138,2.17210125923,224227.578125,1.501257658,156851.421875,128.288726807,60.3193702698,68008.4296875,125.992835999
503420,128.752746582,1.08660101891,3.05978322029,2.58123874664,307947.3125,0.264118343592,193299.953125,129.243682861,103.553695679,76453.265625,75.0250091553
